wiki_code,language_name,is_mobile
aa,Afar,False
ab,Abkhazian,False
ace,Acehnese,False
ady,Adyghe,False
af,Afrikaans,False
ak,Akan,False
als,Alemannic,False
alt,Southern Altai,False
am,Amharic,False
ami,Amis,False
an,Aragonese,False
ang,Old English,False
ann,Obolo,False
anp,Angika,False
ar,Arabic,False
arc,Aramaic,False
ary,Moroccan Arabic,False
arz,Egyptian Arabic,False
as,Assamese,False
ast,Asturian,False
atj,Atikamekw,False
av,Avaric,False
avk,Kotava,False
awa,Awadhi,False
ay,Aymara,False
az,Azerbaijani,False
azb,South Azerbaijani,False
ba,Bashkir,False
ban,Balinese,False
bar,Bavarian,False
bat-smg,Samogitian,False
bbc,Batak Toba,False
bcl,Central Bikol,False
bdr,West Coast Bajau,False
be,Belarusian,False
be-tarask,Belarusian (Taraškievica orthography),False
be-x-old,Belarusian (Taraškievica orthography),False
bew,Betawi,False
bg,Bulgarian,False
bh,Bhojpuri,False
bi,Bislama,False
bjn,Banjar,False
blk,Pa'O,False
bm,Bambara,False
bn,Bangla,False
bo,Tibetan,False
bpy,Bishnupriya,False
br,Breton,False
bs,Bosnian,False
btm,Batak Mandailing,False
bug,Buginese,False
bxr,Russia Buriat,False
ca,Catalan,False
cbk-zam,Chavacano,False
cdo,Mindong,False
ce,Chechen,False
ceb,Cebuano,False
ch,Chamorro,False
cho,Choctaw,False
chr,Cherokee,False
chy,Cheyenne,False
ckb,Central Kurdish,False
co,Corsican,False
cr,Cree,False
crh,Crimean Tatar,False
cs,Czech,False
csb,Kashubian,False
cu,Church Slavic,False
cv,Chuvash,False
cy,Welsh,False
da,Danish,False
dag,Dagbani,False
de,German,False
dga,Southern Dagaare,False
din,Dinka,False
diq,Dimli,False
dsb,Lower Sorbian,False
dtp,Central Dusun,False
dty,Doteli,False
dv,Divehi,False
dz,Dzongkha,False
ee,Ewe,False
el,Greek,False
eml,Emiliano-Romagnolo,False
en,English,False
eo,Esperanto,False
es,Spanish,False
et,Estonian,False
eu,Basque,False
ext,Extremaduran,False
fa,Persian,False
fat,Fanti,False
ff,Fula,False
fi,Finnish,False
fiu-vro,Võro,False
fj,Fijian,False
fo,Faroese,False
fon,Fon,False
fr,French,False
frp,Arpitan,False
frr,Northern Frisian,False
fur,Friulian,False
fy,Western Frisian,False
ga,Irish,False
gag,Gagauz,False
gan,Gan,False
gcr,Guianan Creole,False
gd,Scottish Gaelic,False
gl,Galician,False
glk,Gilaki,False
gn,Guarani,False
gom,Goan Konkani,False
gor,Gorontalo,False
got,Gothic,False
gpe,Ghanaian Pidgin,False
gsw,Alemannic,False
gu,Gujarati,False
guc,Wayuu,False
gur,Frafra,False
guw,Gun,False
gv,Manx,False
ha,Hausa,False
hak,Hakka Chinese,False
haw,Hawaiian,False
he,Hebrew,False
hi,Hindi,False
hif,Fiji Hindi,False
ho,Hiri Motu,False
hr,Croatian,False
hsb,Upper Sorbian,False
ht,Haitian Creole,False
hu,Hungarian,False
hy,Armenian,False
hyw,Western Armenian,False
hz,Herero,False
ia,Interlingua,False
iba,Iban,False
id,Indonesian,False
ie,Interlingue,False
ig,Igbo,False
igl,Igala,False
ii,Sichuan Yi,False
ik,Inupiaq,False
ilo,Iloko,False
inh,Ingush,False
io,Ido,False
is,Icelandic,False
isv,medžuslovjansky,False
it,Italian,False
iu,Inuktitut,False
ja,Japanese,False
jam,Jamaican Creole English,False
jbo,Lojban,False
jv,Javanese,False
ka,Georgian,False
kaa,Kara-Kalpak,False
kab,Kabyle,False
kai,Karekare,False
kaj,Jju,False
kbd,Kabardian,False
kbp,Kabiye,False
kcg,Tyap,False
kg,Kongo,False
kge,Komering,False
ki,Kikuyu,False
kj,Kuanyama,False
kk,Kazakh,False
kl,Kalaallisut,False
km,Khmer,False
kn,Kannada,False
knc,Central Kanuri,False
ko,Korean,False
koi,Komi-Permyak,False
kr,Kanuri,False
krc,Karachay-Balkar,False
ks,Kashmiri,False
ksh,Colognian,False
ku,Kurdish,False
kus,Kusaal,False
kv,Komi,False
kw,Cornish,False
ky,Kyrgyz,False
la,Latin,False
lad,Ladino,False
lb,Luxembourgish,False
lbe,Lak,False
lez,Lezghian,False
lfn,Lingua Franca Nova,False
lg,Ganda,False
li,Limburgish,False
lij,Ligurian,False
lld,Ladin,False
lmo,Lombard,False
ln,Lingala,False
lo,Lao,False
lrc,Northern Luri,False
lt,Lithuanian,False
ltg,Latgalian,False
lv,Latvian,False
lzh,Literary Chinese,False
mad,Madurese,False
mag,Magahi,False
mai,Maithili,False
map-bms,Banyumasan,False
mdf,Moksha,False
mg,Malagasy,False
mh,Marshallese,False
mhr,Eastern Mari,False
mi,Māori,False
min,Minangkabau,False
mk,Macedonian,False
ml,Malayalam,False
mn,Mongolian,False
mni,Manipuri,False
mnw,Mon,False
mo,Moldovan,False
mos,Mossi,False
mr,Marathi,False
mrj,Western Mari,False
ms,Malay,False
mt,Maltese,False
mus,Muscogee,False
mwl,Mirandese,False
my,Burmese,False
myv,Erzya,False
mzn,Mazanderani,False
na,Nauru,False
nah,Nahuatl,False
nan,Minnan,False
nap,Neapolitan,False
nds,Low German,False
nds-nl,Low Saxon,False
ne,Nepali,False
new,Newari,False
ng,Ndonga,False
nia,Nias,False
nl,Dutch,False
nn,Norwegian Nynorsk,False
no,Norwegian,False
nov,Novial,False
nqo,N’Ko,False
nr,South Ndebele,False
nrm,Norman,False
