namespace_id,canonical_namespace,namespace_name,wiki_code,language_name
-2,Media,Media,aa,Afar
-1,Special,Special,aa,Afar
0,,,aa,Afar
1,Talk,Talk,aa,Afar
2,User,User,aa,Afar
3,User talk,User talk,aa,Afar
4,Project,Wikipedia,aa,Afar
5,Project talk,Wikipedia talk,aa,Afar
6,File,File,aa,Afar
7,File talk,File talk,aa,Afar
8,MediaWiki,MediaWiki,aa,Afar
9,MediaWiki talk,MediaWiki talk,aa,Afar
10,Template,Template,aa,Afar
11,Template talk,Template talk,aa,Afar
12,Help,Help,aa,Afar
13,Help talk,Help talk,aa,Afar
14,Category,Category,aa,Afar
15,Category talk,Category talk,aa,Afar
710,TimedText,TimedText,aa,Afar
711,TimedText talk,TimedText talk,aa,Afar
828,Module,Module,aa,Afar
829,Module talk,Module talk,aa,Afar
1728,Event,Event,aa,Afar
1729,Event talk,Event talk,aa,Afar
-2,Media,Амедиа,ab,Abkhazian
-1,Special,Цастәи,ab,Abkhazian
0,,,ab,Abkhazian
1,Talk,Ахцәажәара,ab,Abkhazian
2,User,Алахәыла,ab,Abkhazian
3,User talk,Алахәыла ахцәажәара,ab,Abkhazian
4,Project,Авикипедиа,ab,Abkhazian
5,Project talk,Авикипедиа ахцәажәара,ab,Abkhazian
6,File,Афаил,ab,Abkhazian
7,File talk,Афаил ахцәажәара,ab,Abkhazian
8,MediaWiki,Амедиавики,ab,Abkhazian
9,MediaWiki talk,Амедиавики ахцәажәара,ab,Abkhazian
10,Template,Ашаблон,ab,Abkhazian
11,Template talk,Ашаблон ахцәажәара,ab,Abkhazian
12,Help,Ацхыраара,ab,Abkhazian
13,Help talk,Ацхыраара ахцәажәара,ab,Abkhazian
14,Category,Акатегориа,ab,Abkhazian
15,Category talk,Акатегориа ахцәажәара,ab,Abkhazian
710,TimedText,TimedText,ab,Abkhazian
711,TimedText talk,TimedText talk,ab,Abkhazian
828,Module,Амодуль,ab,Abkhazian
829,Module talk,Амодуль ахцәажәара,ab,Abkhazian
1728,Event,Event,ab,Abkhazian
1729,Event talk,Event talk,ab,Abkhazian
-2,Media,Alat,ace,Acehnese
-1,Special,Kusuih,ace,Acehnese
0,,,ace,Acehnese
1,Talk,Marit,ace,Acehnese
2,User,Ureuëng Ngui,ace,Acehnese
3,User talk,Marit Ureuëng Ngui,ace,Acehnese
4,Project,Wikipedia,ace,Acehnese
5,Project talk,Marit Wikipedia,ace,Acehnese
6,File,Beureukaih,ace,Acehnese
7,File talk,Marit Beureukaih,ace,Acehnese
8,MediaWiki,MediaWiki,ace,Acehnese
9,MediaWiki talk,Marit MediaWiki,ace,Acehnese
10,Template,Seunaleuëk,ace,Acehnese
11,Template talk,Marit Seunaleuëk,ace,Acehnese
12,Help,Beunantu,ace,Acehnese
13,Help talk,Marit Beunantu,ace,Acehnese
14,Category,Kawan,ace,Acehnese
15,Category talk,Marit Kawan,ace,Acehnese
710,TimedText,TimedText,ace,Acehnese
711,TimedText talk,TimedText talk,ace,Acehnese
828,Module,Modul,ace,Acehnese
829,Module talk,Pembicaraan Modul,ace,Acehnese
1728,Event,Acara,ace,Acehnese
1729,Event talk,Pembicaraan Acara,ace,Acehnese
-2,Media,Медиа,ady,Adyghe
-1,Special,Special,ady,Adyghe
0,,,ady,Adyghe
1,Talk,Talk,ady,Adyghe
2,User,User,ady,Adyghe
3,User talk,User talk,ady,Adyghe
4,Project,Википедие,ady,Adyghe
5,Project talk,Википедием и тегущыӀэн,ady,Adyghe
6,File,File,ady,Adyghe
7,File talk,File talk,ady,Adyghe
8,MediaWiki,MediaWiki,ady,Adyghe
9,MediaWiki talk,MediaWiki talk,ady,Adyghe
10,Template,Template,ady,Adyghe
11,Template talk,Template talk,ady,Adyghe
12,Help,Help,ady,Adyghe
13,Help talk,Help talk,ady,Adyghe
14,Category,Category,ady,Adyghe
15,Category talk,Category talk,ady,Adyghe
710,TimedText,TimedText,ady,Adyghe
711,TimedText talk,TimedText talk,ady,Adyghe
828,Module,Module,ady,Adyghe
